num_recreated_workers,episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/training_iteration_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,sampler_results/sampler_perf/mean_raw_obs_processing_ms,sampler_results/sampler_perf/mean_inference_ms,sampler_results/sampler_perf/mean_action_processing_ms,sampler_results/sampler_perf/mean_env_wait_ms,sampler_results/sampler_perf/mean_env_render_ms,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
0,-28.45000173524022,-28.45000173524022,-28.45000173524022,5000.0,1,0,2,4000,4000,4000,4000,4000,4000,4000,4000,4000,False,1,1,8d549_00000,d728be4a06d14dbfb93d93e231d3c06b,2023-01-04_21-05-05,1672887905,69.29108738899231,69.29108738899231,24484,DESKTOP-22QLIOO,127.0.0.1,69.29108738899231,0,1,11.164263725280762,4000,4000,4000,4000,-28.45000173524022,-28.45000173524022,-28.45000173524022,5000.0,1,0,[-28.45000173524022],[5000],0.34673770316432323,0.9669182515578184,0.05959515761337479,3.8473304332053515,0.0,69289.087,0.0,0.0,7792.623,513.306,6.0,4000,4000,4000,4000,19.797959183673466,30.496938775510205,[-28.45000173524022],[5000],0.34673770316432323,0.9669182515578184,0.05959515761337479,3.8473304332053515,0.0,128.0,1.0,9.999999747378752e-05,0.061957426,-0.023989107,0.24932608,0.0029670561,0.0032791093,2.1784768,0.02500000037252903
0,-28.45000173524022,-59.650001887232065,-44.05000181123614,5000.5,1,0,2,8000,8000,8000,8000,4000,4000,8000,4000,8000,False,2,2,8d549_00000,d728be4a06d14dbfb93d93e231d3c06b,2023-01-04_21-05-50,1672887950,44.78043079376221,114.07151818275452,24484,DESKTOP-22QLIOO,127.0.0.1,114.07151818275452,0,2,11.164263725280762,8000,8000,8000,8000,-28.45000173524022,-59.650001887232065,-44.05000181123614,5000.5,1,0,"[-28.45000173524022, -59.650001887232065]","[5000, 5001]",0.3584649453389581,1.0043619799847125,0.0640527544704554,4.2138397509623005,0.0,57032.259,0.5,8004396.947,7641.731,523.442,6.002,8000,8000,8000,8000,23.346031746031745,30.91111111111112,"[-28.45000173524022, -59.650001887232065]","[5000, 5001]",0.3584649453389581,1.0043619799847125,0.0640527544704554,4.2138397509623005,0.0,128.0,1.5,9.999999747378752e-05,0.078477986,-0.022833476,0.27045265,0.021984614,0.0045786332,2.1722176,0.02500000037252903
0,-28.45000173524022,-118.85000190511346,-68.98333517586191,5000.666666666667,1,0,2,12000,12000,12000,12000,4000,4000,12000,4000,12000,False,3,3,8d549_00000,d728be4a06d14dbfb93d93e231d3c06b,2023-01-04_21-06-35,1672887995,45.01148557662964,159.08300375938416,24484,DESKTOP-22QLIOO,127.0.0.1,159.08300375938416,0,3,11.164263725280762,12000,12000,12000,12000,-28.45000173524022,-118.85000190511346,-68.98333517586191,5000.666666666667,1,0,"[-28.45000173524022, -59.650001887232065, -118.85000190511346]","[5000, 5001, 5001]",0.36235210353292807,1.0213939653420774,0.06616540221960031,4.333345679803376,0.0,53023.668,0.666,6006163.246,7564.324,528.798,5.668,12000,12000,12000,12000,22.4359375,31.082812500000003,"[-28.45000173524022, -59.650001887232065, -118.85000190511346]","[5000, 5001, 5001]",0.36235210353292807,1.0213939653420774,0.06616540221960031,4.333345679803376,0.0,128.0,2.25,9.999999747378752e-05,-0.035180025,-0.022450576,0.06038101,-0.027212946,0.0036175565,2.1631403,0.02500000037252903
0,-28.45000173524022,-118.85000190511346,-74.83750183787197,5000.75,1,0,2,16000,16000,16000,16000,4000,4000,16000,4000,16000,False,4,4,8d549_00000,d728be4a06d14dbfb93d93e231d3c06b,2023-01-04_21-07-20,1672888040,45.02962255477905,204.1126263141632,24484,DESKTOP-22QLIOO,127.0.0.1,204.1126263141632,0,4,11.164263725280762,16000,16000,16000,16000,-28.45000173524022,-118.85000190511346,-74.83750183787197,5000.75,1,0,"[-28.45000173524022, -59.650001887232065, -118.85000190511346, -92.40000182390213]","[5000, 5001, 5001, 5001]",0.36431649325943044,1.0317547638804834,0.0674131900152535,4.395900506577345,0.0,51023.907,0.75,5329907.394,7514.722,532.289,5.501,16000,16000,16000,16000,21.419047619047614,31.293650793650798,"[-28.45000173524022, -59.650001887232065, -118.85000190511346, -92.40000182390213]","[5000, 5001, 5001, 5001]",0.36431649325943044,1.0317547638804834,0.0674131900152535,4.395900506577345,0.0,128.0,3.375,9.999999747378752e-05,-0.026863486,-0.021635398,0.06950821,-0.05587831,0.0031680393,2.1659892,0.02500000037252903
0,-28.45000173524022,-118.85000190511346,-71.54000183194876,5000.8,1,0,2,20000,20000,20000,20000,4000,4000,20000,4000,20000,False,5,5,8d549_00000,d728be4a06d14dbfb93d93e231d3c06b,2023-01-04_21-08-05,1672888085,45.055471897125244,249.16809821128845,24484,DESKTOP-22QLIOO,127.0.0.1,249.16809821128845,0,5,11.164263725280762,20000,20000,20000,20000,-28.45000173524022,-118.85000190511346,-71.54000183194876,5000.8,1,0,"[-28.45000173524022, -59.650001887232065, -118.85000190511346, -92.40000182390213, -58.35000180825591]","[5000, 5001, 5001, 5001, 5001]",0.3654387646534155,1.0374651736476657,0.068346914090529,4.444085214500522,0.0,49829.22,0.801,4995300.423,7474.951,535.121,5.601,20000,20000,20000,20000,21.026562499999997,31.2796875,"[-28.45000173524022, -59.650001887232065, -118.85000190511346, -92.40000182390213, -58.35000180825591]","[5000, 5001, 5001, 5001, 5001]",0.3654387646534155,1.0374651736476657,0.068346914090529,4.444085214500522,0.0,128.0,5.0625,9.999999747378752e-05,0.0108024655,-0.021220587,0.12720811,-0.047028035,0.0031963452,2.1649163,0.02500000037252903
0,-28.45000173524022,-118.85000190511346,-74.65833515363435,5000.833333333333,1,0,2,24000,24000,24000,24000,4000,4000,24000,4000,24000,False,6,6,8d549_00000,d728be4a06d14dbfb93d93e231d3c06b,2023-01-04_21-08-50,1672888130,45.103813886642456,294.2719120979309,24484,DESKTOP-22QLIOO,127.0.0.1,294.2719120979309,0,6,11.164263725280762,24000,24000,24000,24000,-28.45000173524022,-118.85000190511346,-74.65833515363435,5000.833333333333,1,0,"[-28.45000173524022, -59.650001887232065, -118.85000190511346, -92.40000182390213, -58.35000180825591, -90.25000176206231]","[5000, 5001, 5001, 5001, 5001, 5001]",0.36662272311830213,1.0416979172246592,0.06875979117333886,4.47324262520447,0.0,49039.819,0.834,4794175.168,7446.485,537.166,7.501,24000,24000,24000,24000,20.828125,31.2578125,"[-28.45000173524022, -59.650001887232065, -118.85000190511346, -92.40000182390213, -58.35000180825591, -90.25000176206231]","[5000, 5001, 5001, 5001, 5001, 5001]",0.36662272311830213,1.0416979172246592,0.06875979117333886,4.47324262520447,0.0,128.0,7.59375,9.999999747378752e-05,0.055965256,-0.023512853,0.20678715,0.0115995975,0.0026040215,2.1611655,0.02500000037252903
0,-28.45000173524022,-118.85000190511346,-76.87143038745437,5000.857142857143,1,0,2,28000,28000,28000,28000,4000,4000,28000,4000,28000,False,7,7,8d549_00000,d728be4a06d14dbfb93d93e231d3c06b,2023-01-04_21-09-35,1672888175,44.98049879074097,339.2524108886719,24484,DESKTOP-22QLIOO,127.0.0.1,339.2524108886719,0,7,11.164263725280762,28000,28000,28000,28000,-28.45000173524022,-118.85000190511346,-76.87143038745437,5000.857142857143,1,0,"[-28.45000173524022, -59.650001887232065, -118.85000190511346, -92.40000182390213, -58.35000180825591, -90.25000176206231, -90.15000179037452]","[5000, 5001, 5001, 5001, 5001, 5001, 5001]",0.3671907298852033,1.0443464092789356,0.06916267216954458,4.49010952483397,0.0,48458.916,0.858,4661817.72,7410.224,539.795,8.858,28000,28000,28000,28000,20.323809523809526,31.25238095238095,"[-28.45000173524022, -59.650001887232065, -118.85000190511346, -92.40000182390213, -58.35000180825591, -90.25000176206231, -90.15000179037452]","[5000, 5001, 5001, 5001, 5001, 5001, 5001]",0.3671907298852033,1.0443464092789356,0.06916267216954458,4.49010952483397,0.0,128.0,11.390625,9.999999747378752e-05,-0.012268446,-0.015954984,0.07703638,0.09787989,0.0013402591,2.1579945,0.02500000037252903
0,-28.45000173524022,-118.85000190511346,-79.04375181300566,5000.875,1,0,2,32000,32000,32000,32000,4000,4000,32000,4000,32000,False,8,8,8d549_00000,d728be4a06d14dbfb93d93e231d3c06b,2023-01-04_21-10-21,1672888221,45.36468052864075,384.6170914173126,24484,DESKTOP-22QLIOO,127.0.0.1,384.6170914173126,0,8,11.164263725280762,32000,32000,32000,32000,-28.45000173524022,-118.85000190511346,-79.04375181300566,5000.875,1,0,"[-28.45000173524022, -59.650001887232065, -118.85000190511346, -92.40000182390213, -58.35000180825591, -90.25000176206231, -90.15000179037452, -94.25000179186463]","[5000, 5001, 5001, 5001, 5001, 5001, 5001, 5001]",0.36749576045164845,1.0456653061453962,0.06944122167670981,4.5056607447108386,0.0,48071.387,0.876,4566471.421,7418.447,539.196,8.501,32000,32000,32000,32000,20.909375000000004,31.259375000000002,"[-28.45000173524022, -59.650001887232065, -118.85000190511346, -92.40000182390213, -58.35000180825591, -90.25000176206231, -90.15000179037452, -94.25000179186463]","[5000, 5001, 5001, 5001, 5001, 5001, 5001, 5001]",0.36749576045164845,1.0456653061453962,0.06944122167670981,4.5056607447108386,0.0,128.0,11.390625,9.999999747378752e-05,0.029006282,-0.011546466,0.13709524,0.037302427,0.0016917667,2.1647968,0.02500000037252903
0,-28.45000173524022,-118.85000190511346,-81.127779584378,5000.888888888889,1,0,2,36000,36000,36000,36000,4000,4000,36000,4000,36000,False,9,9,8d549_00000,d728be4a06d14dbfb93d93e231d3c06b,2023-01-04_21-11-03,1672888263,41.95338559150696,426.5704770088196,24484,DESKTOP-22QLIOO,127.0.0.1,426.5704770088196,0,9,11.164263725280762,36000,36000,36000,36000,-28.45000173524022,-118.85000190511346,-81.127779584378,5000.888888888889,1,0,"[-28.45000173524022, -59.650001887232065, -118.85000190511346, -92.40000182390213, -58.35000180825591, -90.25000176206231, -90.15000179037452, -94.25000179186463, -97.80000175535679]","[5000, 5001, 5001, 5001, 5001, 5001, 5001, 5001, 5001]",0.3676248327772679,1.0476208333201047,0.06974235301403074,4.517410129017468,0.0,47391.054,0.89,4494967.373,7410.578,539.769,8.223,36000,36000,36000,36000,22.418333333333333,31.276666666666667,"[-28.45000173524022, -59.650001887232065, -118.85000190511346, -92.40000182390213, -58.35000180825591, -90.25000176206231, -90.15000179037452, -94.25000179186463, -97.80000175535679]","[5000, 5001, 5001, 5001, 5001, 5001, 5001, 5001, 5001]",0.3676248327772679,1.0476208333201047,0.06974235301403074,4.517410129017468,0.0,128.0,11.390625,9.999999747378752e-05,0.015353307,-0.014670415,0.122917764,0.074669294,0.0014518391,2.164736,0.02500000037252903
0,-28.45000173524022,-118.85000190511346,-83.06500180102884,5000.9,1,0,2,40000,40000,40000,40000,4000,4000,40000,4000,40000,False,10,10,8d549_00000,d728be4a06d14dbfb93d93e231d3c06b,2023-01-04_21-11-48,1672888308,45.07918381690979,471.64966082572937,24484,DESKTOP-22QLIOO,127.0.0.1,471.64966082572937,0,10,11.164263725280762,40000,40000,40000,40000,-28.45000173524022,-118.85000190511346,-83.06500180102884,5000.9,1,0,"[-28.45000173524022, -59.650001887232065, -118.85000190511346, -92.40000182390213, -58.35000180825591, -90.25000176206231, -90.15000179037452, -94.25000179186463, -97.80000175535679, -100.50000175088644]","[5000, 5001, 5001, 5001, 5001, 5001, 5001, 5001, 5001, 5001]",0.36758382345038954,1.0494900540179282,0.07000545460257218,4.526068709413568,0.0,47159.267,0.901,4439473.949,7403.168,540.309,7.901,40000,40000,40000,40000,21.033333333333335,31.312698412698413,"[-28.45000173524022, -59.650001887232065, -118.85000190511346, -92.40000182390213, -58.35000180825591, -90.25000176206231, -90.15000179037452, -94.25000179186463, -97.80000175535679, -100.50000175088644]","[5000, 5001, 5001, 5001, 5001, 5001, 5001, 5001, 5001, 5001]",0.36758382345038954,1.0494900540179282,0.07000545460257218,4.526068709413568,0.0,128.0,11.390625,9.999999747378752e-05,0.0305154,0.009993506,0.10531166,0.08071071,0.0014587445,2.1606212,0.02500000037252903
