num_recreated_workers,episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/training_iteration_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,sampler_results/sampler_perf/mean_raw_obs_processing_ms,sampler_results/sampler_perf/mean_inference_ms,sampler_results/sampler_perf/mean_action_processing_ms,sampler_results/sampler_perf/mean_env_wait_ms,sampler_results/sampler_perf/mean_env_render_ms,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
0,-67.60000167787075,-67.60000167787075,-67.60000167787075,5000.0,1,0,2,4000,4000,4000,4000,4000,4000,4000,4000,4000,False,1,1,e8e02_00000,173891d6dbbc4166bdf0e3a9b23793ec,2023-01-04_23-31-23,1672896683,96.56336975097656,96.56336975097656,31208,DESKTOP-22QLIOO,127.0.0.1,96.56336975097656,0,1,15.204543828964233,4000,4000,4000,4000,-67.60000167787075,-67.60000167787075,-67.60000167787075,5000.0,1,0,[-67.60000167787075],[5000],0.6925507655884595,2.6081541828383594,0.16251360743171192,9.387777700731217,0.0,96559.368,0.0,0.0,11703.0,341.793,77.0,4000,4000,4000,4000,61.436764705882354,37.18014705882353,[-67.60000167787075],[5000],0.6925507655884595,2.6081541828383594,0.16251360743171192,9.387777700731217,0.0,128.0,1.0,9.999999747378752e-05,0.004288083,-0.023798542,0.14273582,-0.22696504,0.004029384,2.1778984,0.02500000037252903
0,-67.60000167787075,-67.60000167787075,-67.60000167787075,5000.0,0,0,2,8000,8000,8000,8000,4000,4000,8000,4000,8000,False,1,2,e8e02_00000,173891d6dbbc4166bdf0e3a9b23793ec,2023-01-04_23-32-40,1672896760,77.03464770317078,173.59801745414734,31208,DESKTOP-22QLIOO,127.0.0.1,173.59801745414734,0,2,15.204543828964233,8000,8000,8000,8000,-67.60000167787075,-67.60000167787075,-67.60000167787075,5000.0,0,0,[-67.60000167787075],[5000],0.6925507655884595,2.6081541828383594,0.16251360743171192,9.387777700731217,0.0,86793.007,0.5,7998672.706,11190.52,357.445,45.0,8000,8000,8000,8000,67.30275229357798,37.344954128440364,[-67.60000167787075],[5000],0.6925507655884595,2.6081541828383594,0.16251360743171192,9.387777700731217,0.0,128.0,1.5,9.919999865815043e-05,-0.01108368,-0.008749166,0.07870209,-0.0569885,0.005848979,2.1757653,0.02500000037252903
0,-67.60000167787075,-87.10000165551901,-77.35000166669488,5000.5,1,0,2,12000,12000,12000,12000,4000,4000,12000,4000,12000,False,2,3,e8e02_00000,173891d6dbbc4166bdf0e3a9b23793ec,2023-01-04_23-33-52,1672896832,72.77987051010132,246.37788796424866,31208,DESKTOP-22QLIOO,127.0.0.1,246.37788796424866,0,3,15.204543828964233,12000,12000,12000,12000,-67.60000167787075,-87.10000165551901,-77.35000166669488,5000.5,1,0,"[-67.60000167787075, -87.10000165551901]","[5000, 5001]",0.6982740069621631,2.651606157102928,0.16786098179228526,9.637617644085195,0.0,82119.628,1.0,3998700.882,11224.013,356.379,33.667,12000,12000,12000,12000,66.48921568627452,37.588235294117645,"[-67.60000167787075, -87.10000165551901]","[5000, 5001]",0.6982740069621631,2.651606157102928,0.16786098179228526,9.637617644085195,0.0,128.0,2.25,9.839999984251335e-05,0.0070150574,-0.021899717,0.13492171,-0.020519163,0.003927526,2.1651642,0.02500000037252903
0,-67.50000151246786,-87.10000165551901,-74.06666828195254,5000.666666666667,1,0,2,16000,16000,16000,16000,4000,4000,16000,4000,16000,False,3,4,e8e02_00000,173891d6dbbc4166bdf0e3a9b23793ec,2023-01-04_23-35-11,1672896911,78.09805560112,324.47594356536865,31208,DESKTOP-22QLIOO,127.0.0.1,324.47594356536865,0,4,15.204543828964233,16000,16000,16000,16000,-67.50000151246786,-87.10000165551901,-74.06666828195254,5000.666666666667,1,0,"[-67.60000167787075, -87.10000165551901, -67.50000151246786]","[5000, 5001, 5001]",0.7017034531138245,2.67412803036027,0.1697633991543068,9.746835605023309,0.0,81111.735,1.0,3998859.731,11209.76,356.832,27.75,16000,16000,16000,16000,69.47545454545455,37.5009090909091,"[-67.60000167787075, -87.10000165551901, -67.50000151246786]","[5000, 5001, 5001]",0.7017034531138245,2.67412803036027,0.1697633991543068,9.746835605023309,0.0,128.0,3.375,9.760000102687627e-05,-0.0001334075,-0.020747898,0.12143388,-0.021173758,0.002362682,2.1659276,0.02500000037252903
0,-66.8500015027821,-87.10000165551901,-72.26250158715993,5000.75,1,0,2,20000,20000,20000,20000,4000,4000,20000,4000,20000,False,4,5,e8e02_00000,173891d6dbbc4166bdf0e3a9b23793ec,2023-01-04_23-36-25,1672896985,74.39803838729858,398.87398195266724,31208,DESKTOP-22QLIOO,127.0.0.1,398.87398195266724,0,5,15.204543828964233,20000,20000,20000,20000,-66.8500015027821,-87.10000165551901,-72.26250158715993,5000.75,1,0,"[-67.60000167787075, -87.10000165551901, -67.50000151246786, -66.8500015027821]","[5000, 5001, 5001, 5001]",0.7047046034240376,2.691690931931567,0.1714142260789469,9.801111340064889,0.0,79766.596,1.0,4000671.499,11037.808,362.391,25.0,20000,20000,20000,20000,67.99711538461538,37.46826923076923,"[-67.60000167787075, -87.10000165551901, -67.50000151246786, -66.8500015027821]","[5000, 5001, 5001, 5001]",0.7047046034240376,2.691690931931567,0.1714142260789469,9.801111340064889,0.0,128.0,5.0625,9.680000221123919e-05,-0.013596308,-0.014589113,0.08120486,0.07735573,0.002047016,2.1613154,0.02500000037252903
0,-42.45000148192048,-87.10000165551901,-66.30000156611204,5000.8,1,0,2,24000,24000,24000,24000,4000,4000,24000,4000,24000,False,5,6,e8e02_00000,173891d6dbbc4166bdf0e3a9b23793ec,2023-01-04_23-37-38,1672897058,72.86807703971863,471.74205899238586,31208,DESKTOP-22QLIOO,127.0.0.1,471.74205899238586,0,6,15.204543828964233,24000,24000,24000,24000,-42.45000148192048,-87.10000165551901,-66.30000156611204,5000.8,1,0,"[-67.60000167787075, -87.10000165551901, -67.50000151246786, -66.8500015027821, -42.45000148192048]","[5000, 5001, 5001, 5001, 5001]",0.7068639883864898,2.703507579003103,0.17218024708378046,9.818818643662931,0.0,78615.343,1.0,4000925.914,11039.594,362.332,22.833,24000,24000,24000,24000,68.62233009708737,37.50097087378641,"[-67.60000167787075, -87.10000165551901, -67.50000151246786, -66.8500015027821, -42.45000148192048]","[5000, 5001, 5001, 5001, 5001]",0.7068639883864898,2.703507579003103,0.17218024708378046,9.818818643662931,0.0,128.0,7.59375,9.600000339560211e-05,0.024551343,-0.020001575,0.15780486,0.10349918,0.0015368427,2.1564057,0.02500000037252903
0,-21.70000145584345,-87.10000165551901,-58.86666821440061,5000.833333333333,1,0,2,28000,28000,28000,28000,4000,4000,28000,4000,28000,False,6,7,e8e02_00000,173891d6dbbc4166bdf0e3a9b23793ec,2023-01-04_23-38-53,1672897133,74.7139995098114,546.4560585021973,31208,DESKTOP-22QLIOO,127.0.0.1,546.4560585021973,0,7,15.204543828964233,28000,28000,28000,28000,-21.70000145584345,-87.10000165551901,-58.86666821440061,5000.833333333333,1,0,"[-67.60000167787075, -87.10000165551901, -67.50000151246786, -66.8500015027821, -42.45000148192048, -21.70000145584345]","[5000, 5001, 5001, 5001, 5001, 5001]",0.7090277980797142,2.7120374814989643,0.17284375042183228,9.835019846877115,0.0,78056.865,1.0,4001243.978,10980.224,364.291,21.285,28000,28000,28000,28000,68.26761904761904,37.50190476190476,"[-67.60000167787075, -87.10000165551901, -67.50000151246786, -66.8500015027821, -42.45000148192048, -21.70000145584345]","[5000, 5001, 5001, 5001, 5001, 5001]",0.7090277980797142,2.7120374814989643,0.17284375042183228,9.835019846877115,0.0,128.0,7.59375,9.520000457996503e-05,0.09232922,-0.020425681,0.27998188,0.060182374,0.0016915349,2.1632092,0.02500000037252903
0,-16.450001496821642,-87.10000165551901,-54.23750154208392,5000.875,2,0,2,32000,32000,32000,32000,4000,4000,32000,4000,32000,False,8,8,e8e02_00000,173891d6dbbc4166bdf0e3a9b23793ec,2023-01-04_23-40-08,1672897208,75.05239605903625,621.5084545612335,31208,DESKTOP-22QLIOO,127.0.0.1,621.5084545612335,0,8,15.204543828964233,32000,32000,32000,32000,-16.450001496821642,-87.10000165551901,-54.23750154208392,5000.875,2,0,"[-67.60000167787075, -87.10000165551901, -67.50000151246786, -66.8500015027821, -42.45000148192048, -21.70000145584345, -16.450001496821642, -64.25000155344605]","[5000, 5001, 5001, 5001, 5001, 5001, 5001, 5001]",0.7060886006481504,2.6977177205794725,0.17210068562790162,9.731726072644118,0.0,77680.432,1.0,4001959.807,10885.494,367.462,58.0,32000,32000,32000,32000,39.84095238095237,37.71809523809524,"[-67.60000167787075, -87.10000165551901, -67.50000151246786, -66.8500015027821, -42.45000148192048, -21.70000145584345, -16.450001496821642, -64.25000155344605]","[5000, 5001, 5001, 5001, 5001, 5001, 5001, 5001]",0.7060886006481504,2.6977177205794725,0.17210068562790162,9.731726072644118,0.0,128.0,7.59375,9.440000576432794e-05,0.041442,-0.016089497,0.18134165,-0.029760262,0.0015622607,2.1627927,0.02500000037252903
0,-16.450001496821642,-87.10000165551901,-52.06111264518566,5000.888888888889,1,0,2,36000,36000,36000,36000,4000,4000,36000,4000,36000,False,9,9,e8e02_00000,173891d6dbbc4166bdf0e3a9b23793ec,2023-01-04_23-41-11,1672897271,63.39963388442993,684.9080884456635,31208,DESKTOP-22QLIOO,127.0.0.1,684.9080884456635,0,9,15.204543828964233,36000,36000,36000,36000,-16.450001496821642,-87.10000165551901,-52.06111264518566,5000.888888888889,1,0,"[-67.60000167787075, -87.10000165551901, -67.50000151246786, -66.8500015027821, -42.45000148192048, -21.70000145584345, -16.450001496821642, -64.25000155344605, -34.65000146999955]","[5000, 5001, 5001, 5001, 5001, 5001, 5001, 5001, 5001]",0.7012139993792433,2.6747465774983135,0.1705947657394519,9.62053880123177,0.0,76093.009,1.0,4001774.197,10537.611,379.593,52.333,36000,36000,36000,36000,35.25222222222222,37.572222222222216,"[-67.60000167787075, -87.10000165551901, -67.50000151246786, -66.8500015027821, -42.45000148192048, -21.70000145584345, -16.450001496821642, -64.25000155344605, -34.65000146999955]","[5000, 5001, 5001, 5001, 5001, 5001, 5001, 5001, 5001]",0.7012139993792433,2.6747465774983135,0.1705947657394519,9.62053880123177,0.0,128.0,7.59375,9.360000694869086e-05,0.113248885,-0.022426415,0.32287177,0.016468808,0.0016002663,2.1622474,0.02500000037252903
0,-16.450001496821642,-87.10000165551901,-50.95500152520835,5000.9,1,0,2,40000,40000,40000,40000,4000,4000,40000,4000,40000,False,10,10,e8e02_00000,173891d6dbbc4166bdf0e3a9b23793ec,2023-01-04_23-41-57,1672897317,45.74330544471741,730.6513938903809,31208,DESKTOP-22QLIOO,127.0.0.1,730.6513938903809,0,10,15.204543828964233,40000,40000,40000,40000,-16.450001496821642,-87.10000165551901,-50.95500152520835,5000.9,1,0,"[-67.60000167787075, -87.10000165551901, -67.50000151246786, -66.8500015027821, -42.45000148192048, -21.70000145584345, -16.450001496821642, -64.25000155344605, -34.65000146999955, -41.000001445412636]","[5000, 5001, 5001, 5001, 5001, 5001, 5001, 5001, 5001, 5001]",0.695114027748998,2.6461121852624396,0.16871907461614266,9.486544123508386,0.0,73057.539,1.0,4001339.407,10322.531,387.502,47.8,40000,40000,40000,40000,29.934375,37.40625,"[-67.60000167787075, -87.10000165551901, -67.50000151246786, -66.8500015027821, -42.45000148192048, -21.70000145584345, -16.450001496821642, -64.25000155344605, -34.65000146999955, -41.000001445412636]","[5000, 5001, 5001, 5001, 5001, 5001, 5001, 5001, 5001, 5001]",0.695114027748998,2.6461121852624396,0.16871907461614266,9.486544123508386,0.0,128.0,7.59375,9.280000813305378e-05,0.026127711,-0.014726221,0.15414414,0.055332713,0.0013135194,2.1559951,0.02500000037252903
